"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"487","Carl Grundstrom","PHI","R","32","346.31666666666666","7","2","0","2","9","75.00","37","18.92","3.76","71","56","36","16","2","4","8","4","4","0","0","3","12","5","91","36","16","4","16","20.00"
"488","Dante Fabbro","CBJ","D","54","762.9666666666667","4","5","4","1","9","37.50","52","7.69","1.34","133","79","23","1","2","20","18","9","9","0","0","6","40","12","45","90","74","0","0","-"
"489","Timothy Liljegren","S.J","D","43","693.7166666666667","1","8","5","3","9","32.14","31","3.23","1.41","86","53","24","4","1","8","27","12","11","1","0","7","40","4","36","75","61","0","0","-"
"490","Dylan Samberg","WPG","D","45","806.6666666666666","0","9","2","7","9","32.14","51","0.00","1.75","138","80","35","6","6","8","6","3","3","0","0","4","40","16","32","63","51","0","0","-"
"491","Nick Perbix","NSH","D","59","932.2166666666667","3","6","1","5","9","25.00","53","5.66","2.96","137","83","43","5","1","9","12","6","6","0","0","2","60","14","23","55","47","0","0","-"
"492","Jesperi Kotkaniemi","CAR","C","37","387.76666666666665","2","7","4","3","9","50.00","36","5.56","4.46","71","51","43","25","1","6","6","3","3","0","0","9","24","3","57","51","13","98","107","47.80"
"493","Ty Dellandrea","S.J","C","42","473.8666666666667","1","8","6","2","9","75.00","39","2.56","4.18","74","54","41","23","1","6","16","8","8","0","0","15","23","6","113","51","27","188","160","54.02"
"494","Spencer Stastney","EDM, NSH","D","61","830.5666666666667","2","7","5","2","9","34.62","53","3.77","1.7","119","77","28","7","2","16","18","9","9","0","0","9","53","14","11","77","44","0","0","-"
"495","Drew Helleson","ANA","D","51","783.4166666666666","2","7","2","5","9","27.27","33","6.06","0.96","109","51","26","1","1","10","20","10","10","0","0","3","37","22","50","86","63","0","0","-"
"496","Max Crozier","T.B","D","34","486.35","1","8","4","4","9","45.00","42","2.38","1.62","96","60","19","4","3","10","38","12","9","2","1","5","18","5","35","73","29","0","0","-"
"497","Alexander Holtz","VGK","R","28","304.95","3","6","2","4","9","64.29","28","10.71","4.83","67","49","37","22","1","6","6","2","2","0","0","1","18","1","29","27","11","3","9","25.00"
"498","Tyson Foerster","PHI","R","21","274.06666666666666","7","2","1","1","9","75.00","28","25.00","2.51","56","42","28","10","2","6","4","2","2","0","0","1","9","7","18","23","14","0","0","-"
"499","Ian Moore","ANA","D","47","613.5166666666667","3","6","3","3","9","40.91","43","6.98","3.95","116","81","46","12","1","9","20","10","10","0","0","4","31","13","22","82","65","0","0","-"
"500","Jeff Malott","L.A","L","44","395.1","3","6","5","1","9","60.00","41","7.32","7.61","93","72","60","40","0","16","41","12","8","3","1","7","15","7","139","50","21","3","8","27.27"
"501","Adam Wilsby","NSH","D","45","676.4666666666667","0","9","5","4","9","42.86","43","0.00","2.72","94","62","31","9","1","9","27","12","11","1","0","3","37","12","16","58","32","0","0","-"
"502","Fedor Svechkov","NSH","C","50","543.95","1","8","3","5","9","45.00","49","2.04","5.62","95","71","61","27","3","8","14","7","7","0","0","8","26","10","42","54","20","153","193","44.22"
"503","Joel Nystrom","CAR","D","37","509.75","1","8","6","2","9","39.13","40","2.50","1.43","117","60","34","6","1","19","6","3","3","0","0","1","30","3","7","56","16","0","0","-"
"504","Zakhar Bardakov","COL","C","47","327.71666666666664","1","8","3","5","9","64.29","25","4.00","3.75","61","48","30","18","2","7","12","6","6","0","0","8","22","5","42","37","16","68","91","42.77"
