"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"53","Jake DeBrusk","VAN","L","61","187.61666666666667","11","5","2","3","16","69.57","56","19.64","13.8","81","78","77","62","0","18","0","0","0","0","0","3","2","0","3","3","0","4","3","57.14"
"54","Charlie McAvoy","BOS","D","50","152.26666666666668","1","15","9","6","16","59.26","11","9.09","1.43","40","26","9","1","0","3","6","3","3","0","0","1","1","4","1","2","1","0","0","-"
"55","Gabriel Vilardi","WPG","C","61","185.56666666666666","8","8","4","4","16","64.00","32","25.00","8.18","60","46","53","35","0","8","2","1","1","0","0","1","3","2","0","3","0","11","10","52.38"
"56","Jack Hughes","N.J","C","42","119.71666666666667","3","13","10","3","16","80.00","29","10.34","2.88","45","33","21","10","0","5","0","0","0","0","0","0","10","2","1","2","0","1","6","14.29"
"57","Lane Hutson","MTL","D","61","188.51666666666668","2","14","3","11","16","50.00","12","16.67","1.03","25","12","14","1","0","3","6","3","3","0","0","2","10","1","0","5","0","0","0","-"
"58","Connor Bedard","CHI","C","49","162.11666666666667","6","10","7","3","16","76.19","34","17.65","4.05","68","49","34","6","0","4","6","3","3","0","0","1","17","1","0","6","1","14","7","66.67"
"59","Evgeni Malkin","PIT","C","46","137.31666666666666","2","13","5","8","15","62.50","32","6.25","5.26","52","43","31","15","0","10","0","0","0","0","0","1","11","2","2","3","1","4","13","23.53"
"60","Erik Karlsson","PIT","D","56","169.86666666666667","1","14","5","9","15","55.56","26","3.85","2.59","66","43","22","1","0","9","0","0","0","0","0","0","7","1","0","3","1","0","0","-"
"61","Mark Scheifele","WPG","C","61","189.11666666666667","7","8","3","5","15","60.00","30","23.33","4.36","47","39","29","14","0","7","0","0","0","0","0","0","16","0","1","3","0","63","67","48.46"
"62","Chandler Stephenson","SEA","C","59","158.1","6","9","1","8","15","68.18","20","30.00","2.52","38","29","19","10","0","2","0","0","0","0","0","1","5","2","2","7","1","104","66","61.18"
"63","Kyle Connor","WPG","L","61","185.66666666666666","3","12","8","4","15","62.50","34","8.82","3.73","59","46","24","3","0","5","0","0","0","0","0","0","5","0","1","3","0","0","0","-"
"64","Clayton Keller","UTA","R","62","199.86666666666667","1","14","7","7","15","65.22","29","3.45","4","66","51","20","4","0","6","6","3","3","0","0","0","14","3","1","3","2","1","3","25.00"
"65","Jesper Bratt","N.J","L","63","183.76666666666668","4","11","7","4","15","62.50","19","21.05","2.84","39","27","27","10","0","5","0","0","0","0","0","0","7","0","3","2","1","0","0","-"
"66","Nico Hischier","N.J","C","63","190.81666666666666","7","8","2","6","15","55.56","54","12.96","9.63","85","70","71","36","0","14","4","2","2","0","0","0","6","4","1","7","1","122","69","63.87"
"67","Trevor Zegras","PHI","C","61","164.6","8","7","3","4","15","78.95","34","23.53","5.91","67","53","38","12","0","7","6","3","3","0","0","1","5","0","3","8","0","16","30","34.78"
"68","Luke Evangelista","NSH","R","61","143.9","1","14","7","7","15","57.69","23","4.35","3.4","37","33","24","13","0","5","0","0","0","0","0","0","5","0","0","5","0","0","0","-"
"69","Josh Doan","BUF","R","62","181.71666666666667","7","8","7","1","15","55.56","31","22.58","6.56","48","42","39","28","0","3","2","1","1","0","0","0","9","1","2","12","0","1","1","50.00"
"70","Dylan Guenther","UTA","R","60","188.96666666666667","5","10","6","4","15","65.22","45","11.11","6.27","95","76","41","6","0","5","0","0","0","0","0","0","2","0","1","4","0","3","6","33.33"
"71","Ryan O'Reilly","NSH","C","61","162.21666666666667","3","11","10","1","14","56.00","18","16.67","3.88","27","24","24","17","0","1","2","1","1","0","0","0","3","0","0","3","1","82","65","55.78"
"72","Teuvo Teravainen","CHI","C","55","143.75","6","8","4","4","14","66.67","18","33.33","3.08","29","23","21","9","0","4","0","0","0","0","0","0","3","1","1","4","0","8","16","33.33"
"73","Dylan Larkin","DET","C","63","202.06666666666666","9","5","2","3","14","50.00","47","19.15","10.22","97","77","75","41","0","17","8","4","4","0","0","1","5","1","0","3","0","123","92","57.21"
"74","Vince Dunn","SEA","D","60","165.31666666666666","1","13","8","5","14","66.67","33","3.03","2.15","59","40","14","2","1","8","4","2","2","0","0","0","6","4","0","1","1","0","0","-"
"75","Joel Eriksson Ek","MIN","C","57","194.36666666666667","7","7","6","1","14","51.85","42","16.67","10.6","65","57","55","41","0","11","4","2","2","0","0","1","7","0","9","2","0","108","91","54.27"
"76","Martin Necas","COL","C","58","230.51666666666668","6","8","4","4","14","53.85","40","15.00","5.5","67","58","27","16","0","2","0","0","0","0","0","1","17","3","2","9","1","1","3","25.00"
"77","Brady Tkachuk","OTT","L","41","129.06666666666666","3","11","10","1","14","60.87","33","9.09","7.16","60","54","44","27","0","7","2","1","1","0","0","3","4","0","3","2","0","30","21","58.82"
"78","Kirill Marchenko","CBJ","R","55","145.1","3","11","4","7","14","77.78","29","10.34","3.78","55","42","30","2","1","7","0","0","0","0","0","0","6","0","2","5","0","0","0","-"
"79","Anton Lundell","FLA","C","60","151.76666666666668","3","11","4","7","14","60.87","18","16.67","3.36","43","31","28","9","0","6","4","2","2","0","0","0","7","1","1","4","0","64","50","56.14"
"80","Cutter Gauthier","ANA","L","61","153.16666666666666","7","7","4","3","14","63.64","49","14.29","5.33","85","63","40","8","0","12","0","0","0","0","0","0","4","1","1","4","0","29","21","58.00"
"81","Alex Ovechkin","WSH","L","64","277.76666666666665","3","10","7","3","13","50.00","59","5.08","6.32","113","90","35","7","0","8","0","0","0","0","0","1","9","0","6","4","0","0","0","-"
"82","Chris Kreider","ANA","L","56","169.6","7","6","3","3","13","54.17","26","26.92","6.55","46","39","40","30","0","5","4","2","2","0","0","0","5","1","0","0","0","4","3","57.14"
"83","Zach Hyman","EDM","L","44","151.26666666666668","9","4","2","2","13","36.11","29","31.03","8.57","46","42","46","39","0","8","2","1","1","0","0","1","3","0","3","2","0","0","0","-"
"84","Pavel Buchnevich","STL","L","62","154.25","4","9","6","3","13","72.22","21","19.05","4.2","37","30","36","20","0","3","2","1","1","0","0","0","9","1","0","5","1","5","5","50.00"
"85","Oliver Bjorkstrand","T.B","R","60","202.05","8","5","4","1","13","43.33","38","21.05","7.22","77","61","64","21","0","7","6","3","3","0","0","3","2","2","3","4","1","0","0","-"
"86","Seth Jones","FLA","D","40","152.36666666666667","5","8","2","6","13","65.00","27","18.52","2.71","76","49","25","1","0","11","0","0","0","0","0","1","9","1","2","1","2","0","0","-"
"87","Bo Horvat","NYI","C","49","166.66666666666666","6","7","2","5","13","81.25","39","15.38","5.78","72","54","55","10","0","3","2","1","1","0","0","0","6","0","0","1","0","105","61","63.25"
"88","Kevin Fiala","L.A","L","56","173.45","3","10","4","6","13","68.42","27","11.11","4.08","60","42","29","8","0","5","4","2","2","0","0","0","11","6","7","10","0","0","0","-"
"89","Pavel Zacha","BOS","C","59","171.06666666666666","5","8","3","5","13","43.33","18","27.78","6.88","47","41","44","29","0","3","2","1","1","0","0","0","5","0","4","4","0","37","35","51.39"
"90","Jakob Chychrun","WSH","D","62","186.45","5","8","1","7","13","68.42","44","11.36","6.03","85","65","41","12","0","7","0","0","0","0","0","0","5","5","0","4","1","0","0","-"
"91","Leo Carlsson","ANA","C","50","159.85","4","9","5","4","13","65.00","33","12.12","5.21","63","46","40","15","0","9","19","4","2","1","1","0","7","2","0","4","0","33","38","46.48"
"92","Jordan Eberle","SEA","R","59","159.25","3","9","6","3","12","60.00","27","11.11","7.23","44","42","41","33","0","5","2","1","1","0","0","2","1","1","2","3","1","1","0","100.00"
"93","Dmitry Orlov","S.J","D","60","152.71666666666667","0","12","4","8","12","57.14","12","0.00","0.88","29","19","4","0","0","2","0","0","0","0","0","0","6","2","4","2","2","0","0","-"
"94","Dougie Hamilton","N.J","D","58","122.4","4","8","3","5","12","63.16","27","14.81","1.92","52","32","20","2","0","6","4","2","2","0","0","0","5","2","4","2","1","0","0","-"
"95","Shayne Gostisbehere","CAR","D","45","139.31666666666666","4","8","3","5","12","63.16","22","18.18","2.33","60","41","14","0","0","3","0","0","0","0","0","0","13","4","0","0","2","0","0","-"
"96","Josh Morrissey","WPG","D","56","171.46666666666667","2","10","6","4","12","50.00","21","9.52","1.69","45","33","10","0","0","8","2","1","1","0","0","0","9","1","1","0","4","0","0","-"
"97","Mathew Barzal","NYI","C","62","194.61666666666667","2","10","5","5","12","60.00","23","8.70","2.98","37","33","19","8","0","3","4","2","2","0","0","3","9","2","0","4","0","11","21","34.38"
"98","Elias Pettersson","VAN","C","54","169.41666666666666","2","10","4","6","12","54.55","22","9.09","4.93","57","45","28","12","0","7","2","1","1","0","0","0","10","0","1","7","2","94","77","54.97"
"99","Jackson LaCombe","ANA","D","62","193.26666666666668","2","10","5","5","12","50.00","28","7.14","3","62","37","23","5","0","10","2","1","1","0","0","0","8","4","0","2","3","0","0","-"
"100","Ivan Demidov","MTL","R","61","159.11666666666667","3","9","6","3","12","46.15","18","16.67","3.26","51","34","21","4","0","2","6","3","3","0","0","1","7","0","1","5","0","0","0","-"
"101","Matthew Schaefer","NYI","D","63","186.86666666666667","5","7","1","6","12","66.67","31","16.13","2.79","87","45","34","4","0","10","2","1","1","0","0","0","6","5","0","5","2","0","0","-"
"102","Jason Zucker","BUF","L","43","136.7","7","4","3","1","11","52.38","21","33.33","5.46","35","33","33","25","0","5","2","1","1","0","0","0","6","0","0","5","0","23","48","32.39"
"103","Brock Nelson","COL","C","61","188.31666666666666","7","4","3","1","11","61.11","26","26.92","4.55","43","36","28","12","0","4","0","0","0","0","0","2","4","1","2","5","0","60","49","55.05"
