"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"599","Anton Blidh","NYR","L","1","9.066666666666666","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","0","0","-"
"600","Carson Soucy","NYI","D","10","127.96666666666667","0","0","0","0","0","0.00","5","0.00","0.24","22","10","3","1","1","1","4","2","2","0","0","0","11","1","15","22","5","0","0","-"
"601","Mattias Janmark","EDM","C","5","35.266666666666666","0","0","0","0","0","-","0","-","0.12","2","1","2","1","0","1","2","1","1","0","0","1","2","0","0","2","1","0","0","-"
"602","Nick Paul","T.B","L","1","6.05","0","0","0","0","0","-","1","0.00","0.03","1","1","1","0","0","0","0","0","0","0","0","0","2","0","1","0","1","4","2","66.67"
"603","Jonathan Drouin","NYI, STL","L","8","98.31666666666666","0","0","0","0","0","-","8","0.00","0.7","12","10","6","3","0","0","0","0","0","0","0","1","3","2","3","4","8","19","24","44.19"
"604","Elias Lindholm","BOS","C","7","90.85","0","0","0","0","0","0.00","7","0.00","1.66","15","12","10","6","0","4","0","0","0","0","0","1","7","1","1","2","2","50","36","58.14"
"605","Josh Morrissey","WPG","D","5","97.15","0","0","0","0","0","0.00","9","0.00","0.41","25","12","10","1","1","4","2","1","1","0","0","0","7","2","1","6","3","0","0","-"
"606","Curtis Lazar","EDM","C","7","51.75","0","0","0","0","0","0.00","4","0.00","0.91","14","9","10","6","0","1","4","2","2","0","0","1","2","0","12","10","3","29","9","76.32"
"607","Nathan Walker","STL","L","6","59.266666666666666","0","0","0","0","0","0.00","2","0.00","0.07","4","3","0","0","0","0","2","1","1","0","0","0","3","0","25","6","5","2","4","33.33"
"608","Conor Sheary","NYR","L","6","73.26666666666667","0","0","0","0","0","0.00","3","0.00","0.44","12","8","7","2","0","1","2","1","1","0","0","1","2","1","0","4","2","3","4","42.86"
"609","Garnet Hathaway","PHI","R","8","65.31666666666666","0","0","0","0","0","-","3","0.00","0.58","11","8","5","5","0","1","7","2","1","1","0","3","4","1","21","5","4","5","1","83.33"
"610","Tomas Nosek","FLA","L","3","25.3","0","0","0","0","0","-","1","0.00","0.01","5","1","2","1","0","1","0","0","0","0","0","0","1","1","8","1","3","10","8","55.56"
"611","Haydn Fleury","WPG","D","4","63.1","0","0","0","0","0","0.00","4","0.00","0.11","11","5","3","0","0","1","0","0","0","0","0","0","1","1","9","8","5","0","0","-"
"612","Kevin Fiala","L.A","L","3","40.21666666666667","0","0","0","0","0","-","3","0.00","0.19","10","5","2","1","0","1","2","1","1","0","0","2","1","0","1","3","3","1","1","50.00"
"613","Robby Fabbri","MIN, STL","C","5","50.86666666666667","0","0","0","0","0","0.00","7","0.00","0.51","10","9","5","2","1","1","2","1","1","0","0","0","2","0","13","3","1","0","0","-"
"614","Andreas Englund","NSH","D","2","18.716666666666665","0","0","0","0","0","-","2","0.00","0.07","3","2","1","0","0","0","2","1","1","0","0","1","1","0","4","1","1","0","0","-"
"615","Juho Lammikko","N.J","C","1","7.216666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","1","50.00"
"616","Sam Lafferty","CHI","C","2","14.8","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","4","0","1","4","2","66.67"
"617","Jonas Siegenthaler","N.J","D","10","147.11666666666667","0","0","0","0","0","0.00","3","0.00","0.35","20","13","5","2","1","1","9","3","2","1","0","1","7","2","5","14","10","0","0","-"
"618","Brandon Carlo","TOR","D","10","164.31666666666666","0","0","0","0","0","0.00","14","0.00","0.4","28","17","5","0","1","1","11","4","3","1","0","1","6","1","16","18","12","0","0","-"
"619","Noah Juulsen","PHI","D","7","85.56666666666666","0","0","0","0","0","0.00","4","0.00","0.15","13","7","4","0","0","1","0","0","0","0","0","0","6","2","13","15","7","0","0","-"
"620","Mathieu Joseph","STL","R","1","9.266666666666667","0","0","0","0","0","-","0","-","0.09","2","1","0","0","0","0","0","0","0","0","0","1","1","0","3","1","0","0","0","-"
"621","Kyle Capobianco","DAL","D","4","51.0","0","0","0","0","0","0.00","3","0.00","0.05","10","5","1","0","0","1","0","0","0","0","0","0","2","0","2","7","5","0","0","-"
"622","Noel Acciari","PIT","C","9","97.05","0","0","0","0","0","0.00","11","0.00","1.42","24","18","15","4","1","2","2","1","1","0","0","0","0","0","5","10","5","20","23","46.51"
"623","Steven Lorentz","TOR","C","9","75.21666666666667","0","0","0","0","0","-","2","0.00","0.55","8","6","7","2","0","1","0","0","0","0","0","0","5","1","14","12","4","1","5","16.67"
"624","Philippe Myers","TOR","D","5","72.86666666666666","0","0","0","0","0","0.00","2","0.00","0.05","10","3","2","0","0","0","2","1","1","0","0","0","6","0","3","8","9","0","0","-"
"625","Brandon Tanev","UTA","L","4","32.81666666666667","0","0","0","0","0","-","1","0.00","0.1","4","3","1","1","0","0","5","1","0","1","0","2","0","1","13","4","0","0","0","-"
"626","Luke Kunin","FLA","C","4","31.166666666666668","0","0","0","0","0","-","5","0.00","0.61","10","8","5","4","0","1","0","0","0","0","0","0","0","0","8","4","2","19","8","70.37"
"627","Ryan Lindgren","SEA","D","6","68.85","0","0","0","0","0","0.00","0","-","0","3","0","2","0","0","1","0","0","0","0","0","1","2","1","2","4","2","0","0","-"
"628","Brett Howden","VGK","C","1","12.516666666666667","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","2","1","1","0","0","1","1","0","3","2","0","2","4","33.33"
"629","Joshua Mahura","SEA","D","1","15.35","0","0","0","0","0","-","1","0.00","0.03","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","-"
"630","Logan Stanley","WPG","D","8","134.86666666666667","0","0","0","0","0","0.00","12","0.00","0.38","27","18","5","0","0","2","4","2","2","0","0","1","10","2","12","19","9","0","0","-"
"631","Keaton Middleton","COL","D","1","8.916666666666666","0","0","0","0","0","-","0","-","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","-"
"632","Samuel Girard","COL, PIT","D","10","161.15","0","0","0","0","0","0.00","3","0.00","0.15","11","6","4","0","0","1","0","0","0","0","0","0","8","1","4","19","7","0","0","-"
"633","Mikhail Sergachev","UTA","D","7","116.36666666666666","0","0","0","0","0","0.00","9","0.00","0.29","23","12","4","1","1","0","2","1","1","0","0","0","5","3","6","7","2","0","0","-"
"634","Jacob Moverare","L.A","D","3","30.466666666666665","0","0","0","0","0","0.00","3","0.00","0.08","7","4","2","0","0","0","0","0","0","0","0","0","3","1","0","3","5","0","0","-"
"635","Brandon Duhaime","WSH L,","R","10","102.81666666666666","0","0","0","0","0","0.00","10","0.00","1.09","23","17","11","4","0","2","4","2","2","0","0","3","3","1","15","7","6","2","3","40.00"
"636","Dylan Coghlan","VGK","D","1","14.9","0","0","0","0","0","0.00","1","0.00","0.03","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","-"
"637","Jeffrey Viel","ANA","L","10","125.71666666666667","0","0","0","0","0","0.00","15","0.00","2.22","35","30","24","6","1","2","2","1","1","0","0","3","7","3","36","10","4","0","2","0.00"
"638","Michael Rasmussen","DET","C","10","102.71666666666667","0","0","0","0","0","0.00","6","0.00","0.67","12","8","9","3","0","0","0","0","0","0","0","1","3","1","7","11","10","14","24","36.84"
"639","Urho Vaakanainen","NYR","D","5","63.766666666666666","0","0","0","0","0","-","5","0.00","0.1","10","6","1","0","0","1","2","1","1","0","0","1","1","1","1","12","4","0","0","-"
"640","Jesper Boqvist","FLA","C","6","48.81666666666667","0","0","0","0","0","0.00","4","0.00","0.56","12","8","6","2","0","1","2","1","1","0","0","2","4","0","12","8","3","2","6","25.00"
"641","Jonas Rondbjerg","VGK","R","1","8.316666666666666","0","0","0","0","0","-","1","0.00","0.09","3","1","1","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","-"
"642","Henri Jokiharju","BOS","D","2","32.666666666666664","0","0","0","0","0","0.00","2","0.00","0.05","4","2","1","0","0","1","0","0","0","0","0","1","0","1","3","3","4","0","0","-"
"643","Alexandre Texier","MTL","L","3","39.4","0","0","0","0","0","0.00","4","0.00","0.4","6","5","4","2","0","1","0","0","0","0","0","1","2","0","4","1","3","0","0","-"
"644","Filip Chytil","VAN","C","2","18.1","0","0","0","0","0","-","3","0.00","0.21","5","4","2","1","0","0","0","0","0","0","0","0","3","2","0","1","0","2","2","50.00"
