game_id,date,name,team,opp,score,cat,scored,ixg_l10,hdcf_l10,sog_l10,atoi_l10
2008020104,20081024,Alex Frolov,LAK,STL,8.87,JOUABLE,0,0.611,0.6,2.4,19.3
2008020104,20081024,Keith Tkachuk,STL,LAK,8.63,JOUABLE,0,0.566,0.5,3.67,17.1
2008020105,20081025,Marc Savard,BOS,ATL,9.11,JOUABLE,0,0.426,0.43,3.29,20.5
2008020106,20081025,Daniel Alfredsson,OTT,TOR,8.63,JOUABLE,0,0.391,0.5,3.5,22.0
2008020106,20081025,Dany Heatley,OTT,TOR,9.55,SAFE,0,0.619,0.57,3.0,21.6
2008020107,20081025,Alex Kovalev,MTL,ANA,8.87,JOUABLE,0,0.437,0.67,3.5,20.1
2008020108,20081025,Eric Staal,CAR,NYI,9.55,SAFE,1,0.42,0.33,4.17,22.4
2008020109,20081025,Sidney Crosby,PIT,NYR,8.37,JOUABLE,1,0.393,0.38,4.0,22.7
2008020109,20081025,Evgeni Malkin,PIT,NYR,8.63,JOUABLE,0,0.385,0.25,4.0,22.2
2008020110,20081025,Zach Parise,NJD,PHI,10.44,SAFE,1,0.41,0.57,3.86,18.1
2008020110,20081025,Patrik Elias,NJD,PHI,10.12,SAFE,0,0.465,1.0,5.0,17.6
2008020111,20081025,Patrick Marleau,SJS,TBL,9.11,JOUABLE,0,0.454,0.75,4.0,22.6
2008020111,20081025,Vincent Lecavalier,TBL,SJS,8.63,JOUABLE,0,0.402,0.33,4.67,20.0
2008020112,20081025,Dustin Brown,LAK,NSH,7.84,JOUABLE,1,0.474,0.33,3.83,21.3
2008020112,20081025,Alex Frolov,LAK,NSH,8.11,JOUABLE,1,0.539,0.5,2.0,19.4
2008020113,20081025,Rick Nash,CBJ,MIN,7.56,JOUABLE,0,0.37,0.29,4.57,22.5
2008020113,20081025,Antti Miettinen,MIN,CBJ,10.28,SAFE,0,0.529,0.6,3.4,20.2
2008020114,20081025,Brenden Morrow,DAL,WSH,9.11,JOUABLE,0,0.488,0.38,3.5,21.0
2008020114,20081025,Alex Ovechkin,WSH,DAL,9.34,JOUABLE,0,0.438,0.29,5.29,24.6
2008020115,20081025,Patrick Sharp,CHI,DET,8.11,JOUABLE,0,0.383,0.57,2.86,20.4
2008020115,20081025,Patrick Kane,CHI,DET,8.11,JOUABLE,1,0.417,0.71,2.57,20.1
2008020116,20081025,David Booth,FLA,STL,8.11,JOUABLE,0,0.455,0.14,3.57,16.7
2008020117,20081025,Thomas Vanek,BUF,COL,10.12,SAFE,0,0.738,1.43,5.0,19.8
2008020117,20081025,Milan Hejduk,COL,BUF,9.11,JOUABLE,0,0.458,0.86,4.14,21.0
2008020118,20081025,Shawn Horcoff,EDM,VAN,9.34,JOUABLE,0,0.386,0.33,3.33,20.0
2008020119,20081025,Shane Doan,ARI,CGY,9.75,SAFE,0,0.602,1.0,3.33,19.8
2008020119,20081025,Todd Bertuzzi,CGY,ARI,9.11,JOUABLE,1,0.426,0.57,2.71,21.1
2008020119,20081025,Jarome Iginla,CGY,ARI,8.63,JOUABLE,1,0.376,0.14,4.0,22.4
2008020120,20081027,Thomas Vanek,BUF,OTT,9.75,SAFE,0,0.676,1.25,4.88,20.0
2008020120,20081027,Dany Heatley,OTT,BUF,9.55,SAFE,1,0.596,0.62,3.12,21.4
2008020121,20081027,Scott Gomez,NYR,NYI,8.11,JOUABLE,1,0.304,0.2,3.9,22.4
2008020122,20081027,Teemu Selanne,ANA,CBJ,9.11,JOUABLE,1,0.385,0.33,2.89,17.0
2008020122,20081027,Rick Nash,CBJ,ANA,9.11,JOUABLE,0,0.383,0.38,4.38,22.1
2008020123,20081027,Patrick Kane,CHI,MIN,8.11,JOUABLE,0,0.406,0.62,2.88,20.6
2008020123,20081027,Antti Miettinen,MIN,CHI,7.84,JOUABLE,1,0.453,0.5,3.0,19.9
2008020124,20081027,Marc Savard,BOS,EDM,8.11,JOUABLE,0,0.395,0.38,3.25,20.5
2008020125,20081027,Alex Frolov,LAK,DET,7.84,JOUABLE,1,0.52,0.57,2.0,19.0
2008020127,20081028,Jeff Carter,PHI,ATL,8.63,JOUABLE,0,0.327,0.12,4.12,21.7
2008020129,20081028,Eric Staal,CAR,MTL,8.63,JOUABLE,0,0.447,0.43,4.29,22.1
