game_id,date,name,team,opp,sog_score,hit_sog,actual_sog,pp1,is_home,sog_l10,atoi_l10,ixg_l10,hdcf_l10,season_g,sa_g,sog_x_atoi
2008020118,20081025,Shawn Horcoff,EDM,VAN,6.0,0,1,1,0,3.33,20.0,0.3862,0.33,0.5,30.6,66.54
2008020118,20081025,Erik Cole,EDM,VAN,4.0,1,4,1,0,2.5,16.7,0.2955,0.17,0.167,30.6,41.69
2008020118,20081025,Robert Nilsson,EDM,VAN,3.5,0,2,1,0,2.0,16.5,0.2802,0.17,0.167,30.6,32.98
2008020118,20081025,Mason Raymond,VAN,EDM,3.25,1,4,1,1,2.43,16.4,0.2487,0.14,0.143,30.8,39.74
2008020118,20081025,Daniel Sedin,VAN,EDM,4.75,0,2,1,1,2.71,18.7,0.2801,0.29,0.286,30.8,50.8
2008020118,20081025,Ryan Kesler,VAN,EDM,0.25,0,0,0,1,1.86,17.4,0.182,0.14,0.429,30.8,32.4
2008020118,20081025,Henrik Sedin,VAN,EDM,0.75,0,1,0,1,1.71,18.9,0.1561,0.0,0.286,30.8,32.35
2008020118,20081025,Steve Bernier,VAN,EDM,0.25,0,0,0,1,1.57,16.0,0.2134,0.14,0.286,30.8,25.19
2008020119,20081025,Shane Doan,ARI,CGY,6.75,0,1,1,1,3.33,19.8,0.6025,1.0,0.667,31.0,66.01
2008020119,20081025,Peter Mueller,ARI,CGY,2.25,0,2,0,1,2.5,17.7,0.169,0.17,0.5,31.0,44.28
2008020119,20081025,Mikkel Boedker,ARI,CGY,4.25,0,0,1,1,2.5,17.0,0.2582,0.17,0.5,31.0,42.44
2008020119,20081025,Olli Jokinen,ARI,CGY,4.25,0,1,1,1,2.5,18.9,0.212,0.17,0.167,31.0,47.35
2008020119,20081025,Daymond Langkow,CGY,ARI,5.5,0,1,1,0,3.0,19.1,0.3369,0.29,0.143,30.8,57.19
