game_id,date,season,name,team,opp,qs_v10,scored,pp1,is_home,is_b2b,opp_is_b2b,ixg_l10,hdcf_l10,sog_l10,atoi_l10,season_g,ga_g,hdca_g,l3_goals,l5_goals,l3_scored,l5_scored,l10_goals,l10_scored,consec_goals,luck_factor
2008020134,20081029,2008,Brenden Morrow,DAL,MIN,9.549,1,1,1,0,0,0.4709,0.33,3.44,21.2,0.333,2.0,1.29,1.0,2.0,1,2,3.0,3,0,0.708
2008020134,20081029,2008,Brad Richards,DAL,MIN,3.715,1,0,1,0,0,0.1543,0.11,2.78,20.1,0.222,2.0,1.29,0.0,1.0,0,1,2.0,2,0,1.44
2008020134,20081029,2008,Mike Modano,DAL,MIN,4.451,0,1,1,0,0,0.2372,0.11,3.0,18.4,0.444,2.0,1.29,1.0,2.0,1,2,4.0,3,1,1.874
2008020134,20081029,2008,Loui Eriksson,DAL,MIN,2.953,0,0,1,0,0,0.2184,0.22,1.78,18.0,0.444,2.0,1.29,3.0,4.0,2,3,4.0,3,2,2.035
2008020134,20081029,2008,Eric Belanger,MIN,DAL,5.374,0,0,0,0,0,0.1789,0.0,2.14,18.4,0.286,4.22,2.67,0.0,0.0,0,0,2.0,1,0,1.597
2008020134,20081029,2008,Andrew Brunette,MIN,DAL,8.106,1,1,0,0,0,0.3126,0.57,1.0,18.1,0.429,4.22,2.67,1.0,2.0,1,2,3.0,3,1,1.371
2008020134,20081029,2008,Antti Miettinen,MIN,DAL,10.119,0,1,0,0,0,0.4356,0.43,3.14,20.1,0.857,4.22,2.67,1.0,3.0,1,2,6.0,4,1,1.968
2008020135,20081029,2008,Teemu Selanne,ANA,DET,10.285,1,1,1,0,0,0.4043,0.4,2.7,16.8,0.3,3.11,2.22,2.0,2.0,2,2,3.0,3,2,0.742
2008020135,20081029,2008,Samuel Pahlsson,ANA,DET,3.561,0,0,1,0,0,0.1613,0.1,1.7,18.1,0.2,3.11,2.22,1.0,1.0,1,1,2.0,2,0,1.24
2008020135,20081029,2008,Corey Perry,ANA,DET,8.37,0,1,1,0,0,0.2886,0.1,3.2,16.4,0.2,3.11,2.22,2.0,2.0,2,2,2.0,2,2,0.693
2008020135,20081029,2008,Ryan Getzlaf,ANA,DET,10.285,0,1,1,0,0,0.3809,0.44,2.67,17.5,0.333,3.11,2.22,3.0,3.0,3,3,3.0,3,3,0.875
